NO,Department,Name,MODEL,SERIAL,MANUFACTURER,LOG_Number,Installation_Date,Warranty_End,PPM_Q_I_date,PPM_Q_I_engineer,PPM_Q_II_engineer,PPM_Q_III_engineer,PPM_Q_IV_engineer,Unnamed: 14
41,5A,INFUSION PUMP,OT-701,31364,JMS,2508,,,6/5/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
42,5A,INFUSION PUMP,ot-701,26218,JMS,2512,,,7/5/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
43,5A,NEBULIZER,INNOSTIRE DELUXE,168638,RESPIRONICS,2488,,,8/5/2025,JAYAPRAKASH,SUJITH,NIXON,SUJITH,
44,5A,PULSE OXIMETER,SAT805,71181680,BITMOS,2493,,,9/5/2025,NIXON,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
45,5A,PULSE OXIMETER,SAT805,71181678#,BITMOS,2495,,,10/5/2025,NIXON,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
46,5A,REFRIGERATOR,FR-146,TRI44EA5130002,DAEWOO,2489,,,11/5/2025,JAYAPRAKASH,SUJITH,NIXON,JAYAPRAKASH,
47,5A,SYRINGE PUMP,SP 500,3020201-220usn,JMS Co.LTD Japan,2501,,,12/5/2025,NIXON,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
48,5A,SYRINGE PUMP,INJECTOMAT AGVILA,018090/19741460,FRESENIUS VIAL,2507,,,13/05/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
49,5A,SYRINGE PUMP,SP-500,0110091-220UKN,JMS,2513,,,14/05/2025,SUJITH,NIXON,JAYAPRAKASH,NIXON,
50,5B,DVT MACHINE,DVT-7700,P770B14040002,Wonjin,2476,,,15/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,                                               
51,5B,DVT MACHINE,DVT-7700,D770B22010001,WONJIN,2477,,,16/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
52,5B,DVT MACHINE,DVT-7700,D770B22010002#,Wonjin,2478,,,17/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
53,5B,ECG MACHINE,CARDIPIA 800,80091176,TRISMED,2469,,,18/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
54,5B,FETAL DOPPLER,ULTRATEC ED1+,27630,ULTRASOUND TECH.,2472,,,19/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
55,5B,FETAL DOPPLER,SRF618E,P0244-03003,SUNRAYMEDICAL,2474,,,20/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
56,5B,INFUSION PUMP,Optima PT IS,027390/19866376,FRESENIUS,2461,,,21/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
57,5B,INFUSION PUMP,OT-701,37798,JMS Co.LTD Japan,2463,,,22/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
58,5B,INFUSION PUMP,Optima PT IS,027390/19866375,Fresenius Vial,2466,,,23/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
59,5B,INFUSION PUMP,OPTIMA PT,19866376,FRESENIUS,2532,,,24/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
60,5B,INFUSION PUMP,OT701,32068,JMS,2626,,,25/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
61,5B,INFUSION PUMP,OT701,31594,JMS,2628,,,26/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
62,5B,INFUSION PUMP,OT701,763,JMS,2631,,,27/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
63,5B,PULSE OXIMETER,SAT 805,71181680#,BITMOS,2468,,,28/05/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
64,5B,REFRIGERATOR,RS-22DR4HE,AH147,WANSA,2479,,,29/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
65,5B,SYRINGE PUMP,SP-500,6120171-220UKN,JMS Co.LTD Japan,2480,,,30/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
66,5B,SYRINGE PUMP,SP-500,0110391-220UKN,JMS Co.LTD Japan,2627,,,31/05/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
67,6A,BLOOD WARMER,BW585,13466,"E. Beigler, Germany",2540,,,1/6/2025,SUJITH,ARUN,SUJITH,ARUN,
68,6A,CTG MACHINE,F3,560034-M18A05070006,EDAN,2538,,,2/6/2025,ARUN,SUJITH,ARUN,SUJITH,
69,6A,DEFIBRILATOR,CA-360B,19206550,INNOMED,2530,,,3/6/2025,ARUN,SUJITH,ARUN,SUJITH,
70,6A,DVT MACHINE,DVT-7700,D770B20120032,Wonjin,2545,,,4/6/2025,SUJITH,ARUN,SUJITH,ARUN,
71,6A,DVT MACHINE,DVT-7700,D770A16120006,Wonjin,2546,,,5/6/2025,SUJITH,ARUN,SUJITH,ARUN,
72,6A,ECG MACHINE,SE-1200 EXPRESS,460016-M2261931004,EDAN,2539,,,6/6/2025,SUJITH,ARUN,SUJITH,ARUN,
73,6A,FETAL DOPPLER,SD3,560023-M1960,EDAN,2544,,,7/6/2025,SUJITH,ARUN,SUJITH,ARUN,
74,6A,INFUSION PUMP,OT-701,31363,JMS Co.LTD Japan,2520,,,8/6/2025,ARUN,SUJITH,ARUN,SUJITH,
75,6A,INFUSION PUMP,OT-701,27386,JMS Co.LTD Japan,2534,,,9/6/2025,ARUN,SUJITH,ARUN,SUJITH,
76,6A,INFUSION PUMP,OT-701,26221,JMS,2537,,,10/6/2025,ARUN,SUJITH,ARUN,SUJITH,
77,6A,INFUSION PUMP,OT-701,26119,JMS,2596,,,11/6/2025,SUJITH,ARUN,SUJITH,ARUN,
78,6A,INFUSION PUMP,OT-701,26221#,JMS,2634,,,12/6/2025,SUJITH,ARUN,SUJITH,ARUN,
79,6A,NEBULIZER,INNOSPIRE DELUXE,204521,RESPIRONICS,2543,,,13/06/2025,SUJITH,ARUN,SUJITH,ARUN,
80,6A,PULSE OXIMETER,SAT805,71181678,BITMOS,2527,,,14/06/2025,ARUN,SUJITH,ARUN,SUJITH,
81,6A,SYRINGE PUMP,SP-500,3020181-220 USN,JMS Co.LTD Japan,2535,,,15/06/2025,ARUN,SUJITH,ARUN,SUJITH,
82,6B,DVT MACHINE,DVT-7700,D770B20120024,WONJIN,2568,,,16/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
83,6B,DVT MACHINE,DVT-7700,D770A16120004,WONJIN,2569,,,17/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
84,6B,DVT MACHINE,DVT-7700,D770B14040005,WONJIN,2570,,,18/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
85,6B,ECG MACHINE,CARDIPIA 800,C800071048,TRISMED CO. LTD ,2561,,,19/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
86,6B,INFUSION PUMP,OT-701,31367,JMS CO.LTD,2549,,,20/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
87,6B,INFUSION PUMP,OT-701,26122,JMS CO.LTD,2552,,,21/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
88,6B,INFUSION PUMP,OT-701,27387,JMS CO.LTD,2554,,,22/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
89,6B,INFUSION PUMP,OT-701,32072,JMS CO.LTD,2556,,,23/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
90,6B,INFUSION PUMP,OT-701,32071,JMS CO.LTD,2560,,,24/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
91,6B,NEBULIZER,Porta- Neb,09A457-0305,RESPIRONICS RDD UK ,2567,,,25/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
92,6B,PULSE OXIMETER,SAT 805,71181679,BITMOS,2565,,,26/06/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
93,6B,SYRINGE PUMP,SP-500,8010082-220UKN,JMS CO. LTD JAPAN,2550,,,27/06/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
94,CSSD,AUTOCLAVE MACHINE,SELECTOMAT PL,220823,MMM,2591,,,28/06/2025,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
95,CSSD,AUTOCLAVE MACHINE,SELECTOMAT PL,220824,MMM,2592,,,29/06/2025,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
96,CSSD,BIOLOGICAL INCUBATOR,BT20,0005-326,TERRAGENE,2678,,,30/06/2025,MANU,MANU,MANU,MANU,
97,CSSD,CODA AIR FILTER,A900-009,240429-015342,LIFE GLOBAL,2585,,,1/7/2025,MANU,MANU,MANU,MANU,
98,CSSD,DRYING CABINET ,DC 21 ,7295,MALMET ,2589,,,2/7/2025,MANU,MANU,MANU,MANU,
99,CSSD,SEALER MACHINE,TS46,20162871,LEF,2594,,,3/7/2025,MANU,MANU,MANU,MANU,
100,CSSD,ULTRASONIC CLEANER,FAMOSONIC FLUSH,3360XFG-00165143001,FAMOS,2590,,,4/7/2025,MANU,MANU,MANU,MANU,
101,CSSD,WASHER DISINFECTOR,UNICLEAN PL-II,230504,MMM,2587,,,5/7/2025,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
102,CSSD,WASHER DISINFECTOR,UNICLEAN PL-II,230506,MMM,2588,,,6/7/2025,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
103,DENTAL ,3D PRINTER,MARK IV (VX7-030),VXL P22EFHE0081,VOXELTEK FINISH ,1175,,,7/7/2025,ARUN,45819,SUJITH,ARUN,
104,DENTAL ,AIR COMPRESSOR,QUATRO,J315766028,DURR DENTAL,1194,,,8/7/2025,ARUN,45819,SUJITH,ARUN,
105,DENTAL ,AIR COMPRESSOR,QUATRO TANDOM,D245087012,DURR DENTAL,1195,,,9/7/2025,ARUN,45819,SUJITH,ARUN,
106,DENTAL ,AIR TURBINE,PRESTO-NAKANISHI INC. ,9704011,NSK-NAKANISHI INC. ,1185,,,10/7/2025,ARUN,45819,SUJITH,ARUN,
107,DENTAL ,AIR TURBINE,PRESTO,4802654,NAKANISHI INC,1179,,,11/7/2025,ARUN,45819,SUJITH,ARUN,
108,DENTAL ,AMALGAMATOR,VIBROS,1446E,MOCOM,1075,,,12/7/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
109,DENTAL ,AUTOCLAVE MACHINE,STERICLAVE 24,18X25721,COMINOX,1090,,,13/07/2025,NIXON,45819,JAYAPRAKASH,NIXON,
110,DENTAL ,AUTOCLAVE MACHINE,6536879,2018PRO+1081,SIRONA,1091,,,14/07/2025,NIXON,45819,JAYAPRAKASH,NIXON,
111,DENTAL ,BIOLASE EPIC,EPIC10,745498,BIOLASE,1072,,,15/07/2025,ARUN,45819,SUJITH,ARUN,
112,DENTAL ,BURN OUT FURNACE,PC 30,497 1276,VGIN DENTAIRE,1193,,,16/07/2025,ARUN,45819,SUJITH,ARUN,
113,DENTAL ,CADCAM SCANNER ,INEOS X5,5203,SIRONA ,1171,,,17/07/2025,ARUN,45819,SUJITH,ARUN,
114,DENTAL ,CASTING MACHINE,M1284,804,MANFRED,1192,,,18/07/2025,ARUN,45819,SUJITH,ARUN,
115,DENTAL ,CEREC AC SCANNER ,6431519-D-3492,180095,SIRONA,1044,,,19/07/2025,SUJITH,ARUN,SUJITH,ARUN,
116,DENTAL ,CEREC AC SCANNER ,CEREC CONNECT,180020,SIRONA,1071,,,20/07/2025,SUJITH,ARUN,SUJITH,ARUN,
117,DENTAL ,CEREC INLAB SYSTEM ,D3497,6506,SIRONA,1174,,,21/07/2025,ARUN,45819,SUJITH,ARUN,
118,DENTAL ,DAC MACHINE,6258342 D3472,LG108387,SIRONA,1085,,,22/07/2025,SUJITH,ARUN,SUJITH,ARUN,
119,DENTAL ,DENTAL UNIT,SS-KISS,2112438,SIMPLE @SMART SRL,1041,,,23/07/2025,JAYAPRAKASH,45819,NIXON,JAYAPRAKASH,
120,DENTAL ,DENTAL UNIT,M10,71MA0031,MOCOM,1049,,,24/07/2025,JAYAPRAKASH,45819,NIXON,JAYAPRAKASH,
121,DENTAL ,DENTAL UNIT,D3543INTF60,226366,SIRONA,1056,,,25/07/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
122,DENTAL ,DENTAL UNIT,SIRONA,226367,DENTSPLY,1068,,,26/07/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
123,DENTAL ,DENTALCURINGLIGHT,CURING PEN,ELID0222A001,EIGHTEETH,1051,,,27/07/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
124,DENTAL ,DIODE LASERSYSTEM,EPIC PRO,118257,BIOLASE,1067,,,28/07/2025,ARUN,45819,SUJITH,ARUN,
125,DENTAL ,DISPOSAL SHIELD,MORITA,1824R603,SIRONA,1079,,,29/07/2025,SUJITH,ARUN,SUJITH,ARUN,
126,DENTAL ,DUST COLLECTOR,KOCO-DC-BP,BJBAJIBHO90039,PRIME DENTAL,1184,,,30/07/2025,ARUN,45819,SUJITH,ARUN,
127,DENTAL ,DUST COLLECTOR,KOCO-DC-BP,BJAIAJJG090352,PRIME DENTAL,1183,,,31/07/2025,ARUN,45819,SUJITH,ARUN,
128,DENTAL ,DUST COLLECTOR,SJ500,P314VH00022,HEPHZIBAH CO. LTD,1099,,,1/8/2025,ARUN,45819,SUJITH,ARUN,
129,DENTAL ,ENDO MOTOR,XMART PLUS,5338597,DENTSPLY,1062,,,2/8/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
130,DENTAL ,ENDO POCKET,SIROENDO POCKET,4992,SIRONA,1047,,,3/8/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
131,DENTAL ,ENDO UNIT,X-SMART PLUS,6151136,DENTSPLY,1043,,,4/8/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
132,DENTAL ,ENDODONTIC OBTURATION,EQ-V-PACK,PZ1618022694,META SYSTEMS,1080,,,5/8/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
133,DENTAL ,HERON IOS,EMMA050400X,30050-0009687,CUIINC,1081,,,6/8/2025,JAYAPRAKASH,45820,NIXON,JAYAPRAKASH,
134,DENTAL ,IMPLANT XT PLUS,NE179,1907572,NAKANISHI INC,1094,,,7/8/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
135,DENTAL ,INTRA   ORAL SCANNER,DL-300,51070124023,LAUNCA,1066,,,8/8/2025,SUJITH,45819,ARUN,SUJITH,
136,DENTAL ,INTRA ORAL XRAY,D3507,64412,DENTSPLY,1057,,,9/8/2025,SUJITH,45819,ARUN,SUJITH,
137,DENTAL ,INTRA ORAL XRAY,HELIODENT PLUS,64172,DENTSPLY,1076,,,10/8/2025,SUJITH,45819,ARUN,SUJITH,
138,DENTAL ,INTRA ORAL X-RAY,RIX -70DC,1D221372,TRIDENT ITALY ,1042,,,11/8/2025,SUJITH,45819,ARUN,SUJITH,
139,DENTAL ,INTRA ORAL X-RAY,RXDC,706M0206,NEWTOM,1055,,,12/8/2025,SUJITH,45819,ARUN,SUJITH,
140,DENTAL ,LUBRICATING UNIT,NE187,OH706961,NSK,1086,,,13/08/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
141,DENTAL ,MICRO SANBLASTER,26365,344124,BEGO,1196,,,14/08/2025,ARUN,45819,SUJITH,ARUN,
142,DENTAL ,MICROMOTOR,NE213,9501298,NSK-ULTIMATE XL,1182,,,15/08/2025,ARUN,45819,SUJITH,ARUN,
143,DENTAL ,MICROMOTOR,NE-231-ULTIMATE XL - K ,B9718382,NAKANISHI INC,1180,,,16/08/2025,ARUN,45819,SUJITH,ARUN,
144,DENTAL ,MICROMOTOR KNEE CONTROL SYSTEM ,NE102,3202311,NAKANISHI INC,1181,,,17/08/2025,ARUN,45819,SUJITH,ARUN,
145,DENTAL ,MILLING MACHINE,DWX-42W,LFS0400,DASHAPE,1095,,,18/08/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
146,DENTAL ,MILLING MACHINE,DWX-53DC,KGA08C9,DG SHAPE,1096,,,19/08/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
147,DENTAL ,MILLING UNIT,INLAB MCXL,129449,SIRONA,1172,,,20/08/2025,ARUN,45819,SUJITH,ARUN,
148,DENTAL ,MILLING UNIT,CEREC MC XL ,1092,SIRONA,2785,,,21/08/2025,ARUN,45819,SUJITH,ARUN,
149,DENTAL ,MILLING UNIT ,6384700 D3608,402415,SIRONA,1173,,,22/08/2025,ARUN,45819,SUJITH,ARUN,
150,DENTAL ,MIXING VACUUM ,MIXYVAC S,27713,MANFRED 1,1200,,,23/08/2025,ARUN,45819,SUJITH,ARUN,
151,DENTAL ,OBTURATION SYSTEM,DIA-GUN,DA6-15-0489,DIADENT,1061,,,24/08/2025,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
152,DENTAL ,PANORAMIC XRAY,D3352,650711,SIRONA,1092,,,25/08/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
153,DENTAL ,PENTAMIX,3MESP,9.78003E+11,PENTAMIX3M,1052,,,26/08/2025,SUJITH,ARUN,SUJITH,ARUN,
154,DENTAL ,PENTAMIX UNIT,DUOMIX2,A1073735,RENFERT,1039,,,27/08/2025,SUJITH,ARUN,SUJITH,ARUN,
155,DENTAL ,PENTAMIX UNIT,DYNAMIX SPECIAL,A1111168,HERAEUS,1058,,,28/08/2025,SUJITH,ARUN,SUJITH,ARUN,
156,DENTAL ,PENTAMIX UTE,PENTAMIX LITE,9.79235E+11,3MESPE,1074,,,29/08/2025,SUJITH,ARUN,SUJITH,ARUN,
157,DENTAL ,PHILIPS ZOOM LIGHT,ZOOM WHITE SPEED,32556,PHILIPS ORALHEALTH,1046,,,30/08/2025,ARUN,45819,SUJITH,ARUN,
158,DENTAL ,PINDEX,PX-113L,4034234,COLTENE/WHALEDENT INC. ,1187,,,31/08/2025,ARUN,45819,SUJITH,ARUN,
159,DENTAL ,POLISHING MACHINE,DSG21,406,SIRONA,2786,,,1/9/2025,ARUN,45819,SUJITH,ARUN,
160,DENTAL ,PORCELAIN  FURNACE,COMBI EP 600,51403,IVOCLAR VIVADENT,2782,,,2/9/2025,ARUN,45819,SUJITH,ARUN,
161,DENTAL ,PORCELAIN  FURNACE,PROGRAMAT P310,4000015513,IVOCLAR VIVADENT,2783,,,3/9/2025,ARUN,45819,SUJITH,ARUN,
162,DENTAL ,PROMIX2,PROMIX2,138375,DENTSPLY,1053,,,4/9/2025,NIXON,45820,JAYAPRAKASH,NIXON,
163,DENTAL ,PROMIX2,PROMIX2,121225,DENTSPLY,1063,,,5/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
164,DENTAL ,RENFERT MICO PRO,MT3,A1196452,RENFERT,2784,,,6/9/2025,ARUN,45819,SUJITH,ARUN,
165,DENTAL ,RENFERT MILO PRO,220-240 V,A1101981,RENFERT,1201,,,7/9/2025,ARUN,45819,SUJITH,ARUN,
166,DENTAL ,ROOT 2X MINI,RCM-7,D10292,J.MORHA,1077,,,8/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
167,DENTAL ,SCALER,COMBI,205009259,MECTRON,1069,,,9/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
168,DENTAL ,SCALER & POLISHER,EMS AIRFLOW S2,BW07010,ELECTRO MEDICAL,1054,,,10/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
169,DENTAL ,SCALER POLISHER,COMBITOUCH,205009262,MECTRON,1040,,,11/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
170,DENTAL ,SCALER POLISHER,AIR-FLOW-S2,BW05492,ELECTROMEDICAL SYSTEM,1048,,,12/9/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
171,DENTAL ,SCALER POLISHER,AIR-FLOW-S2,BW07074,EMS,1059,,,13/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
172,DENTAL ,SEALING MACHINE,FLASH,F9353,COMINOX,1083,,,14/09/2025,SUJITH,ARUN,SUJITH,ARUN,
173,DENTAL ,STARLIGHT UNO,MECTRON ,328035890,MECTRON MEDICAL TECH ,1078,,,15/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
174,DENTAL ,SUCTION UNIT,VS600,L399939160,DURR DENTAL,1197,,,16/09/2025,ARUN,45819,SUJITH,ARUN,
175,DENTAL ,SYMPRESS 11,61000000,A1308756,RENFERT,1073,,,17/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
176,DENTAL ,TRIAUTOMINI,TR-CO,EE4034,G.MORITA,1050,,,18/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
177,DENTAL ,ULTRASONIC CLEANER,VU45H,16745,SMEG INSTRUMENTS,1084,,,19/09/2025,NIXON,45819,JAYAPRAKASH,NIXON,
